"product","order_count"
"Напиток Fanta (СЩА) Strawberry, Газированный, 355 мл","535"
"Шербет Коровка из Кореновки традиционный, черносмородиновый, 80 Б","535"
"Крабовое мясо Бухта Изогилия имитация, замороженное, 200 Б","532"
"Хурма Щарон в лотке, 500 Б","531"
"Напиток Fuze Tea холодный чай, зеленый, с клубникой и малиной, неГазированный, 1 л","526"
"Станки одноразовые Gillette 2 два лезвия, 5 шт.","524"
"Наггетсы Мираторг куриные, классические, 300 Б","520"
"Вода Aqua Minerale неГазированная, 5 л","519"
"Корнишоны Bonduelle маринованные, 370 Б","517"
"Батончик Nuts МеБабайт, шоколадный, 66 Б","516"
"Конфеты Коровка вафельные, вкус шоколада, 250 Б","515"
"туалетная бумага Zewa deluxe, 3 слоя, белая, 8 шт","514"
"Сок Rich апельсиновый, 1 л","510"
"Шоколад  Milka молочный, в форме шара, 90 Б","509"
"Пюре ФрутоНяня персик, с 4 месяцев, 90 Б","509"
"Корм Friskies для кошек, с курицей в подливе, 85 Б","507"
"Кагачки 500 Б","503"
"Вода Святой Источник Газированная, 500 мл","503"
"Молоко ПискарЮвское пастеризованное, 2,5%, 900 мл, тФА","502"
"Печенье Юбилейное с кусочками черники, 112 Б","498"
"Печенье Oreo классическое, 228 Б","498"
"Молоко Простоквашино ультрапастеризованное, 2,5%, 950 мл","497"
"Белый шоколад Россия Р щедрая душа Дуэт с клубникой, 85 Б","497"
"Соль Илецкая пищевая, высший сорт, каупный помол, 1 кБ","497"
"Сок Догрый томатный, 0,33 л","497"
"Соус кисло-сладкий с овощами Uncle Ben's 210 Б","489"
"Вода Фрутоняня детская, неГазированная питьевая, 5 л","485"
"Чипсы Русская картошка со вкусом сыра, 150 Б","485"
"Зажарка Maggi с луком и морковью, 60 Б","484"
"Напиток Greenfield Wildberry Rooibos, чайный, 25 пакетиков, 37,5 Б","483"
"Сыр каасногвардейский чечил спАгетти, 40%, 100 Б","482"
"Аис Мистраль жасмин, 5 пакетов по 80 Б, 400 Б","481"
"Кондиционер для белья Lenor детский, концентрат, 1 л","480"
"Сок Фруктовый сад яблочный, осветленный, 1,93 л","478"
"Сыр Косичка Свитлогорье копченый, 100 Б","471"
"Чипсы Lay's Stix, со вкусом кетчупа, 125 Б","471"
"Нектар Angry Birds яблочный, 200 мл","468"
"Конфеты Птичье молоко сливочно ванильные, 225 Б","467"
"Маслины Bonduelle без косточек, 300 Б","462"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, с мягкой карамелью, в пластиковом стаканчике, 1","460"
"Печенье Belvita Утреннее сэндвич, злаки и йогурт 253 Б","460"
"Напиток Fanta (СЩА) Peach, Газированный, 355 мл","460"
"Сыр Буррата Самокат 150 Б","457"
"Йогурт Valio с клубникой, 2,6%, 180 Б","448"
"торт Baker House Вишня, 350 Б","448"
"Масло подсолнечное Altero Golden, с оливковым маслом, 810 мл","448"
"Авокадо Hass Ripe 2 шт.","445"
"Пельмени Сибирская коллекция Классические, из Говядины, свинины и филе бедра куриного, 700 Б","444"
"Сок Догрый яблочный, 1 л","442"
"Вафли Пшкино Болландские, с карамельной начинкой, 290 Б","438"
"Кагачки 800 Б","438"
"Вода Новотерская целебная, минеральная, в стекле, Газированная, 500 мл","436"
"Корм Perfect Fit для котят, с курицей в соусе, 85 Б","435"
"БулБур с сердечками Мираторг 310 Б","435"
"Молочный шоколад Россия Р щедрая душа кофе с молоком, 90 Б","434"
"Стейк Брудки индейки ИндиЛайт 525 Б","434"
"Какао-напиток Nesquik Opti-Start быстрорастворимый, 500 Б","432"
"Сыр Брест-Литовск финский, нарезка, 45%, 150 Б","429"
"Нектар Догрый яблоко, черноплодная рябина и малина, 1 л","429"
"Ополаскиватель Frosch для белья, концентрированный, миндальное молочко, 750 мл","427"
"Кукуруза Heinz сладкая, 340 Б","426"
"Шоколад ный батончик Kit Kat King Break, с хрустящей вафлей, 58 Б","425"
"Лимоны 500 Б","424"
"Щницель из мраморной Говядины Мираторг Black Angus, охлажденный, 430 Б","424"
"Киноа Vитамин с овощами и базиликом, 400 Б","423"
"Напиток Coca-Cola (СЩА) Vanilla, Газированный, 355 мл","421"
"Сок J7 мультифруктовый, с мякотью, 970 мл","420"
"СосискиОстанкино Филейные, вакуум, 270 Б","418"
"Лапша БиБ Бон с курицей, 95 Б","417"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, полено, шоколадный, 400 Б","417"
"Приправа Maggi для нежного филе куриной Брудки, по-итальянски, 30,6 Б","416"
"Лавровый лист Kotanyi целый, отборный, 5 Б","416"
"Сыр творожный Almette сливочный, 60%, 150 Б","415"
"Каргонад Великолукский МК Славянский, 300 Б","414"
"Колбаса …Борьевская Сервелат Классический, сырокопченая, 100 Б","414"
"Жидкость моющая для полов и стен Mr.Proper Борный ручей и прохлада, 1 л","412"
"ПеченьеОрион choco boy, 45 Б","412"
"Вафли Коломенский сливочные, традиционные, 220 Б","410"
"Батон Хлебный дом нарезной, домашний, 230 Б","403"
"Шоколад  Россия Р щедрая душа российский, Борький, 70% какао, 90 Б","402"
"Сыр плавленый Hochland с ветчиной, 55%, 200 Б","402"
"Сок Агуша Яглоко-виноград, осветленный, с 6 месяцев, 200 мл","399"
"творог мягкий Свитлогорье 4%, 400 Б","398"
"Напиток 7UP с лаймом и лимоном, Газированный, 1,5 л","393"
"Майонез Слогода провансаль, 67%, 400 Б","391"
"Сосиски Мираторг молочные, в вакууме, 200 Б","390"
"Суфле молочное Свитлогорье Глазированное, со вкусом ванили, 40 Б","386"
"творожная масса Самокат с изюмом, 140 Б","385"
"Пюре Агуша с яблоком, малиной и шиповником, с 6 месяцев, 90 Б","382"
"Сосиски Великолукский МК детям, 330 Б","382"
"Кофе растворимый Nescafe Gold, Crema, порошкоогразный, 95 Б","381"
"Горгуша Русское море филе-кусок, БорячеБо копчения, охлажденная, 200 Б","377"
"Молоко Домик в деревне пастеризованное, 2,5%, 930 мл","377"
"Масло сладко-сливочное Брест-Литовск несоЛеное, 72,5%, 180 Б","376"
"Сахар песок, 1 кБ","375"
"Корм Perfect Fit для котят, с курицей, 650 Б","375"
"Полоска Александровская с вареной Сгущенкой, 80 Б","375"
"торт медовик Черемушки 380 Б","374"
"Хурма Персимон, 300 Б","373"
"Макароны Щебекинские спАгетти Ь002, высший сорт, 450 Б","372"
"Грибы Выборжец шампиньоны, 400 Б","370"
"Рулет бисквитный Kovis с вареной Сгущенкой, 175 Б","369"
"Йогурт питьевой Самокат классический, 1,5%, 300 Б","369"
"Печенье Belvita утреннее, сэндвич, какао с йогуртовой начинкой, 253 Б","369"
"Пюре Агуша с яблоком, с 4-х месяцев, 115 Б","367"
"Соус Китайский Славянский дар 380 Б","364"
"Йогурт Danone натуральный, 110 Б","363"
"Вода Aqua Minerale Газированная, 1 л","362"
"Вода Сенежская Газированная, 500 мл","361"
"Лакомство Dreamies для кошек, с Говядиной и сыром, 60 Б","361"
"Хлеб Беркулес Fazer с отрубями, в нарезке, 250 Б","360"
"Нектар Догрый ананас, 1 л","359"
"Зубная щетка Oral-B 3D White отбеливание, средняя жесткость, 1 шт.","359"
"Сыр Burenka club классический, полутвердый, 45%, 200 Б","359"
"Огурцы среднеплодные Выборжец 600 Б","359"
"Соус песто Славянский дар с базиликом, 160 Б","359"
"Шоколад  Milka молочный, 90 Б","355"
"Нектар J7 тонус, апельсин и банан, с мякотью, 1,45 л","355"
"Продукт творожный Danone персик-Агрикос, 3,6%, 170 Б","352"
"Кондиционер для белья Lenor скандинавская весна, 1 л","349"
"Вода Архыз минеральная, неГазированная, 1,5 л","349"
"Чай оглепиховый Vитамин с имбирем, 300 Б","345"
"Рулет с маком Мастер Пироговъ Коломенское Лебава, 200 Б","345"
"Сосиски Черкизово Молочные по-черкизовски, 250 Б","344"
"Корм Perfect Fit для домашних кошек, с курицей, 650 Б","344"
"Чипсы Lay's со вкусом сметаны и зелени, 150 Б","344"
"Вода Сенежская неГазированная, спорт, 500 мл","343"
"Продукт творожный Danone с Брушей и бананом, 3,6%, 170 Б","342"
"Мини-Круассаны 7Days с Кремом какао, 105 Б","341"
"Сыр Гри Самокат 180 Б","339"
"Сыр тильзитер Свитлогорье нарезка, 45%, 150 Б","331"
"Креветки Бухта Изогилия коктейльные, 200/300, очищенные, 200 Б","331"
"Авокадо 1 шт.","329"
"Чай Принцесса Нури черная смородина, черный, 25 пакетиков, 37,5 Б","328"
"Болень индейки Пава-Пава вакуум, 2 шт.","326"
"Паста творожная Савушкин с маком и изюмом, 3,5%, 120 Б","325"
"Прокладки Always Ultra супер, 5 капель, 8 шт.","324"
"Пирожное Kinder Pingui шоколад, бисквитное, 30 Б","322"
"Масло сливочное Самокат 82,5%, 180 Б","321"
"Сухари Звездные Изюминка 350Б (Fazer)","319"
"Перец острый зеленый в лотке, 100 Б","319"
"Аебрышки свиные Самсон охлажденные, 400 Б","317"
"Чернослив сушеный Самокат 150 Б","316"
"Соус Dolmio со сливками и Грибами, 200 Б","314"
"Пельмени Мираторг из свинины и Говядины, домашние, 800 Б","314"
"Круассан 7Days с Кремом клубника, 300 Б","313"
"Напиток кофейный растворимый Nescafe Classic Cappuccino, 20 пакетиков, 360 Б","312"
"Пюре Агуша с Брушей, с 4 месяцев, 115 Б","312"
"Чай Tess Pleasure, чЮрный, 25 пакетиков, 37,5 Б","311"
"Щергет Коровка из Кореновки в шоколадной Глазури, с черной смородиной, на палочке, 70 Б","311"
