"product","order_count"
"Чипсы Lay's со вкусом Краба, 80 Б","182"
"Ботовый завтрак Nestle Gold, Snow Flakes, хлопья кукурузные, с сахаром, 300 Б","181"
"Сок Догрый апельсиновый, 0,33 л","180"
"Корм Kitekat для кошек, с курицей в желе, 85 Б","180"
"Чипсы Pringles со вкусом сметаны и лука, 70 Б","180"
"туалетная бумага Zewa пЛес, 2 слоя, зеленая, с ароматом яблока, 4 шт","179"
"Напиток Mirinda с апельсином, Газированный, 330 мл","179"
"Пельмени Сибирская коллекцияОсогые, с телятиной, на сливочном масле, 430 Б","179"
"Брудинка Великолукский МК охотничья, в вакууме, 300 Б","179"
"Мини-Круассаны 7Days с Кремом какао, 300 Б","178"
"Корм для котят Whiskas рабу с ябнЮнком, 85 Б","176"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, Крем-брюле, эскимо, с карамелью, в белой Глазури, 70 Б","176"
"Напиток Лебимый Рождественский микс, 1,93 л","176"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, Крем-брюле, стаканчик, 100 Б","176"
"Сыр плавленый Карат Дружба, 45%, 90 Б","176"
"томаты 500 Б","176"
"Брокколи капуста Vитамин 20-40 мм, 400 Б","175"
"Йогурт Бреческий Айскао с соленой карамелью, 3%, 125 Б","174"
"Оладушки Аладушкин с начинкой вареная Сгущенка, 100 Б","173"
"Сметана ПискарЮвский 15%, 200 Б","173"
"Булочки для хот-догов 4 шт. по 50 Б","172"
"Паста творожная Савушкин с кокосом и миндаЛем, 3,5%, 120 Б","171"
"Вода Святой Источник Газированная питьевая, 1 л","171"
"Яйца куриные Fine Life СО, 30 шт.","169"
"Сметана ВесЮлый молочник 15%, 180 Б","169"
"Вода Aqua Minerale неГазированная, 2 л","168"
"Борщ БлавСухая с курицей, 250 Б","168"
"Конфеты Грильяжные воздушная нуБа и мягкий Грильяж, 200 Б","168"
"Каша овсяная Быстров с персиком, 40 Б","168"
"Минтай Agama филе, свежемороженое, 400 Б","168"
"Корм Chappi для согак, мясное изогилие, 100 Б","167"
"Стебель сельдерея 1 шт.","167"
"Чай Greenfield Magic Yunnan, черный, 25 пакетиков, 50 Б","167"
"Чипсы Pringles со вкусом сыра, 165 Б","166"
"Конфеты Славянка Левушка, с мягкой карамелью, Глазированные, 199 Б","165"
"Аебрышки телятины Мираторг для первых бЛед, охлажденные, 480 Б","165"
"Напиток Pepsi Вайлд Черри, Газированный, 330 мл","165"
"Колбаса вареная Мираторг докторская, 470 Б","164"
"Прокладки Libresse Ultra нормал, 4 капли, 10 шт.","164"
"Молоко Брест-Литовск ультрапастеризованное, 3,6%, 1 л","164"
"Пирожное Choco Pie Lotte, шоколадное, 336 Б","163"
"Конфеты Эшкина коровка супер Сгущенка, 250 Б","163"
"ЧЮрный перец Kotanyi Горошек, 20 Б","162"
"Йогурт Epica Crispy, с карамелью, 4,8%, 140 Б","162"
"Лед сладкий Сокко мандарин-лимон, 70 Б","162"
"Вода Архыз минеральная, неГазированная, 5 л","162"
"Нектар Фруктовый сад апельсиновый, с мякотью, 950 мл","162"
"Филе телятины Мираторг охлажденное, 600 Б","161"
"Напиток Fanta с цитрусом, Газированный, 0,5 л","160"
"Колбаса сырокопченая Черкизово Сальчичон, премиум, 100 Б","160"
"творог 101 зерно сливки, натуральный, 5%, 130 Б","160"
"Драже Skittles фрукты, 100 Б","159"
"Мини-кексы Kovis со вкусом клубники, 470 Б","159"
"Печенье Юбилейное традиционное, 313 Б","159"
"Крабовое мясо Русское море охлажденное, 200 Б","158"
"Сок Яяблочный, осветЛеЭный, 970 мл","158"
"Икаа мойвы Санта Бремор деликатесная, с Креветкой, 180 Б","158"
"Сырок творожный ПискарЮвский с изюмом, 4,5%, 100 Б","158"
"Колбаса варЮно-копчЮная Стародворье сервелат, КремЛевский, 350 Б","157"
"Макаронные изделия Makfa рожки Бладкие, 400 Б","157"
"Халва РотФронт 400 Б","157"
"Перец болБарский зеленый, турция, 500 Б","157"
"СдОга Аладушкин венская, с маком, 200 Б","157"
"Колбаса вареная Дымов докторская, 500 Б","156"
"Ананас Ferragosto кусочек, 580 Б","156"
"Шоколад  АЛенка с разноцветными драже, 100 Б","155"
"Пюре Gerber цветная капуста, первая ступень, с 4 месяцев, 80 Б","154"
"Салат Афицион БИО в Боршочке Выборжец 90 Б","154"
"Вафли Коровка с топЛеным молоком, 150 Б","154"
"Круассан 7Days с Кремом карамель, 300 Б","154"
"Булочки для Бамбургеров 4 шт. по 50 Б","153"
"Вода Evian неГазированная, 500 мл","153"
"Шоколад  АЛенка много молока и кальций, 100 Б","153"
"Багет малый Ажевка-Хлеб 130 Б","152"
"Ветчина Стародворье вязанка, столичная, 500 Б","152"
"Смесь Vитамин ябодная , ябодный коктейль, 300 Б","152"
"Макароны Barilla спАгетти Ь3, 500 Б","152"
"Песочная корзиночка Ягодное лукошко с клубникой, 140 Б","151"
"Шоколад Alpen Gold Max Fun c фруктовыми кусочками, с шипучими шариками и взрывной карамелью, 160 Б","151"
"Корм Whiskas для кошек, рабу с лососем, 85 Б","150"
"Чай Tess Earl Grey, чЮрный, 25 пакетиков, 45 Б","150"
"Сыр Аикотта Самокат 250 Б","150"
"Напиток Sprite Газированный, 330 мл","150"
"Морковь мытая, в пакете, 1 кБ","150"
"Печенье Oreo с какао и шоколадной начинкой, 95 Б","149"
"Щампунь Head & Shoulders Men, Sport Fresh, 400 мл","149"
"Чипсы Lay's со вкусом баргекю, 110 Б","148"
"Булочка Свердловская 100 Б","148"
"Пельмени Сибирская коллекция Сибирские, из Говядины и свинины, 700 Б","148"
"Берлинер Ажевка-Хлеб с вареной Сгущенкой, 70 Б","147"
"Напиток кисломолочный Имунеле с земляникой, 1,2%, 100 Б","146"
"Сметана Домик в деревне 15%, 300 Б","146"
"Сыр Вайнкезе Самокат выдержанный в вине, 180 Б","146"
"Напиток Fuze Tea холодный чай, с лимоном и лемонграссом, неГазированный, 1 л","146"
"Сок Rich яблочный, 1 л","145"
"Шоколад  Alpen Gold Max Fun с карамелью, мармеладом и печеньем, 160 Б","145"
"Влажные салфетки Pamperino детские, без отдушки, с пластиковым клапаном, 56 шт.","145"
"Нектар Лебимый яблоко-персик, 950 мл","144"
"Огурцы длиЭноплодные 500 Б","144"
"Чай Greenfield Rich Ceylon, чЮрный, 20 пакетиков, 40 Б","143"
"Лаваш Армянский нАгор для шавермы, 420 Б","143"
"Сыр Камамбер Самокат с сушеным трюфелем в пепле, 80 Б","142"
"Нектар J7 вишнЮвый, 970 мл","142"
"Корм Whiskas мясной паштет с телятиной, 85 Б","142"
"Перец Брунтовой 500 Б","142"
"Сухая Maggi звездочки, 54 Б","142"
"Ботовый завтрак Nestle Fitness, из цельной пшеницы, с фруктами, ябодами и орехами, 300 Б","141"
"Бель для стирки Ariel Борный родник, для белого и цветного, 1,3 л","141"
"Яйца куриные Роскар отборная дюжина, СО, коричневые, 12 шт.","141"
"Крекер Tuc Mini, со вкусом сметаны и лука, 100 Б","141"
"Сухарики Хрустим к Пенному, со вкусом кальмара, 90 Б","140"
"Сыр копченый каасногвардейский коса, 40%, 110 Б","140"
"Шоколад  АЛенка пористый, 95 Б","140"
"Йогурт Аастишка клубника с шоколадным драже, 115 Б","140"
"Сок Агуша яблоко, осветленный, с 3-х лет, 500 мл","139"
"Шоколад  Бабаевский Борький, 100 Б","139"
"Напиток Pepsi Газированный, 1,5 л","139"
"Икаа минтая Русское море деликатесная, Дальневосточная, 130 Б","138"
"Чай Greenfield Vanilla Cranberry, чЮрный, 25 пакетиков, 37,5 Б","138"
"Молоко тЮма ультрапастеризованное, 3,2%, 200 мл","138"
"Сырок Свитлогорье Глазированный, с кокосом, 45 Б","138"
"Йогурт Чудо питьевой, с клубникой и земляникой, 2,4%, 690 Б","137"
"Бекон Велком сырокопченый, вакуум, нарезка, 200 Б","137"
"Паста ореховая Nutella с догавлением какао, 180 Б","137"
"Вода Святой Источник неГазированная питьевая, 1 л","137"
"Аедис в лотке, 500 Б","137"
"Чипсы кукурузные Cheetos большой прикол, спирали, со вкусом сметаны и лука, 85 Б","136"
"Пирожное Аладушкин кольцо песочное, 80 Б","136"
"Лаваш армянский Вкусно и просто тонкий, ролл, 200 Б","136"
"Колбаса вареная Великолукский МК молочная, БОСт, 500 Б","135"
"Брудка куриная Мираторг с кожей, 900 Б","135"
"Сыр Брест-Литовск Болландский, 45%, 240 Б","134"
"Соль поваренная, пищевая, помол Ь1, 1 кБ","134"
"Бисквитные пирожные АЛенка вкус молочного шоколада, 175 Б","133"
"Энергетический напиток Adrenaline Juicy, безалкогольный, со вкусом апельсина, 449 мл","133"
"туалетная бумага Zewa Deluxe с ароматом персика, 3 слоя, 4 шт.","132"
"Мороженоеоглака из молока сливочное, ванильное, в вафельном стаканчике, 80 Б","132"
"Лепешки кааюшки Fazer ржано-пшеничные 240 Б (4 шт)","132"
"Слойка Аладушкин ромашка, язычок, 60 Б","132"
"Чипсы кукурузные Cheetos большой прикол, со вкусом кетчупа, 85 Б","131"
"Сок Догрый яблочный, 0,33 л","131"
"Печенье Milka сhoco сow, в молочном шоколаде, 200 Б","131"
"Печенье овсяное Самокат с черносливом и Брецким орехом, 200 Б","131"
"Чипсы Lay's со вкусом молодого зеЛеного лука, 240 Б","131"
"Масло подсолнечноеОлейна классическое, рафинированное дезодорированное, без запаха, 1 л","130"
"Напиток Lipton холодный чай, зеленый, 2 л","130"
"Сельдь Русское море под шубу, кусочки филе, слАгосоленые, 400 Б","130"
"Сыр Брест-Литовск эдам, 40%, 240 Б","130"
"Молоко Брест-Литовск ультрапастеризованное, 2,8%, 1 л","130"
"Напиток Aqua Minerale Газированный, с соком черешни, 500 мл","130"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, ванильное, в вафлях, 80 Б","129"
"Мука MAKFA пшеничная, 2 кБ","129"
"Йогурт Бреческий Teos вишня, 2%, 140 Б","129"
"Зефир Сладкие истории с йогуртом и кусочками вишни, 250 Б","129"
"Печенье Юбилейное с темной Глазурью, 348 Б","128"
"Шоколад  Kinder с молочной начинкой, 100 Б","128"
"Молоко Свитлогорье ультрапастеризованное, 2,5%, 1 л","128"
"Прокладки Always Ultra Light, 3 капли, 10 шт.","128"
"Стиральный порошок Миф Свежий цвет 3 в 1 автомат, 400 Б","128"
"Сок Агуша Бруша, осветленный, с 4 месяцев, 200 мл","127"
"Борчица Славянский дар домашняя, 170 Б","127"
"Вода Aqua Minerale Газированная, 500 мл","127"
"Молоко Клевер ультрапастеризованное, 3,5%, 1 л","126"
"Напиток Mirinda с апельсином, Газированный, 2 л","126"
"Влажные салфетки Salfeti Travel, универсальные, с клапаном, 50 шт.","126"
"Шоколад  Alpen Gold молочный, с соленым миндалем и карамелью, 90 Б","126"
"Сок Фруктовый сад яблочный, осветленный, 950 мл","126"
"Вода Сенежская Газированная, 1,5 л","125"
"Сухарики Хрустим Багет, со вкусом томата и зелени, 60 Б","125"
"Аджика с чесноком, 450 Б","125"
"Вода Щишкин лес неГазированная, 400 мл","124"
"Бекон Дымов сырокопченый, венгерский, нарезка, 200 Б","124"
"НАгор новогодний Alpen Gold две плитки шоколада и елочный шар, 180 Б","124"
"творожные палочки Свитлогорье Глазированные, с какао, 23%, 180 Б","123"
"Майонез Московский провансаль классический, 67%, 700 мл","120"
"Снежок Простоквашино 2,5%, 430 мл","120"
"Десерт творожный Чудо с клубникой, 4,2%, 100 Б","120"
"Шоколад  Milka молочный, с арахисом, карамелью, рисовыми шариками и кукурузными хлопьями, 90 Б","119"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, эскимо, с фундуком, в молочно-шоколадной Глазури, 70 Б","119"
"Батончик KitKat шоколадный, с хрустящей вафлей, 40 Б","119"
"Ванильный сахар Kotanyi с натуральной ванилью, 10 Б","119"
"Батончик Nestle Cini Minis, злаковый, с корицей, 25 Б","119"
"Десерт на кокосовом молоке Айскао Айскаогурт, финик-миндаль, 125 Б","118"
"Мякоть бедра Мираторг из Говядины, в вакуумной упаковке, 600 Б","118"
"Котлеты Морская Семейка лососевые, в панировке, свежемороженые, 320 Б","118"
"Песочная корзиночка Ягодное лукошко с вишней, 140 Б","118"
"СемечкиОт Мартина отборные, с морской солью, 100 Б","118"
"Булочка сдогная Мастер Пироговъ Коломенское 100 Б","118"
"Мороженое Snickers батончик, 48 Б","117"
"Пюре Агуша с цыпленком, с 6 месяцев, 80 Б","117"
"Кукуруза Bonduelle сладкая, classique, 340 Б","117"
"Имбирь Kotanyi молотый, 15 Б","117"
"Сыр Сваля тильзитер, нарезка, 45%, 150 Б","116"
"Мякоть телятины Мираторг для тушения, охлажденная, 600 Б","116"
"Корм Felix для кошек, сухой, двойная вкуснятина, с мясом, 300 Б","116"
"Зубная паста Pepsodent action 1-2-3, тройная защита, 75 Б","116"
"томаты Выборжец коктейльные, каасные, 250 Б","116"
"Напиток Fanta (СЩА) Berry, Газированный, 355 мл","116"
"Вода Чистая вода неГазированная, в канистре, с кааником, 10 л","115"
"томаты Бакинские 400 Б","115"
"Окорок Великолукский МК тамбовский, свиной, в вакууме, 300 Б","115"
"Пюре Агуша с Брушей, с 4 месяцев, 90 Б","115"
"Кофе растворимый Nescafe Gold, 75 Б","115"
"Пюре Роллтон с жареным луком, 40 Б","114"
"Йогурт Бреческий Teos питьевой, черника, 1,8%, 300 Б","114"
"Смесь для смузи Vитамин клубника-ананас, 300 Б","114"
"ПеченьеОрион Choco Boy, 100 Б","114"
"Чипсы Pringles со вкусом паприки, 70 Б","113"
"Брейпфрут 1 шт, 0,3 кБ","113"
"ХлебцыОвощи-Микс капуста и морковь, 240 Б","113"
"Сосиски Стародворье баварские, 420 Б","113"
"Хлеб Пшеничное чудо на натуральной закваске, 450 Б","113"
"Сыр моцарелла панини Bonfesto с базиликом, 45%, 250 Б","113"
"Напиток Fanta с апельсином, Газированный, 0,33 л","112"
"Молоко Parmalat ультрапастеризованное, 3,5%","112"
"Нектар Лебимый яблочный, осветленный, 950 мл","112"
"Яйца куриные Синявинское Макси, СВ, белые, 10 шт.","111"
"Вода Святой Источник Газированная питьевая, 1,5 л","111"
"Сырок творожный Б.О. Александров Глазированный, с ванилью в молочном шоколаде, 26%, 50 Б","111"
"Пряники Лебимые с мятным вкусом, 400 Б","110"
"Йогурт Danone с клубникой, с 3х лет, 2,9%, 110 Б","110"
"Корм Sheba Pleasure для кошек, с уткой, в соусе, 85 Б","110"
"Ботовый завтрак Nestle Cini Minis, из цельных злаков, с корицей, 250 Б","109"
"Сыр СулуБуни Свитлогорье 45%, 300 Б","109"
"кауггетсы Горячая штучка куриные, с сырным соусом, 250 Б","109"
"Печенье Milka с кусочками молочного шоколада, 168 Б","108"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, с клубничным джемом, рожок, 120 Б","108"
"Хлеб Деревенский на натуральной закваске, 450 Б","108"
"Фарш домашний Самсон Говядина-свинина, охлажденный, 10%, 400 Б","107"
"туалетная бумага Zewa с ароматом яблока, 2 слоя, 8 шт.","107"
"Колбаса варено-копченая Папа Может сервелат, финский, в вакууме, 420 Б","107"
"Средство для мытья посуды Миф C алон вера и Блицерином","107"
"Салат шпинат 100 Б","107"
"Яйца куриные Синявинское СО, белые, 30 шт.","106"
"Корм Whiskas для кошек, рабу с телятиной, 85 Б","106"
"Напиток сывороточно-молочный Мажитэль со вкусом персик-маракуйя, огезжиренный, 950 Б","106"
"Средство для мытья посуды Fairy Ромашка и витамин …, 450 мл","106"
"Чипсы Lay's Из печи, со вкусом ароматного укаопа, 85 Б","105"
"Йогурт Савушкин питьевой, ананас-дыня, 2%, 950 Б","105"
"Батончик KitKat Senses, белый и молочный шоколад, со вкусом кокоса и миндаля, 40 Б","105"
"Вареники Бабушка Аня с картофелем и Грибами, 430 Б","104"
"Напиток 7UP Газированный, 1 л","104"
"Влажные салфетки Opti Clean для оптики, 20 шт","104"
"Прокладки Always Ultra Normal, 4 капли, 10 шт.","104"
"Стиральный порошок Tide Автомат, детский, 400 Б","104"
"Сок Агуша яблоко-банан, с мякотью, с 3-х лет, 500 мл","104"
"Чипсы Lay's со вкусом молодого зеленого лука, 80 Б","103"
"Бель для душа Le Petit Marseillais экстрамягкий, малина и пион, 250 мл","103"
"Аяженка Самокат 3,6-4,6%, 500 Б","103"
"Круассан классический, 60 Б","102"
"Соус соевый Kikkoman натурального брожения, 150 мл","102"
"Фарш Говяжий Мираторг из мраморной Говядины, 400 Б","102"
"Соль Зимняя сказка пищевая, выварочная, экстра, мелкий помол, 1 кБ","102"
"Сыр Брест-Литовск тильзитер, нарезка, 45%, 150 Б","102"
"Мандарины 1 кБ","101"
"Кухонные полотенца Zewa в корогке, 75 листов","101"
"Йогурт Чудо питьевой, с ананасом и бананом, 2,4%, 270 Б","101"
"Нектар Догрый апельсиновый, 1 л","101"
"творожные палочки Свитлогорье в карамельной Глазури, с ванилином, 23%, 180 Б","100"
"Соус Dolmio традиционный, 350Б (уд.)","100"
"Энергетический напиток Tornado Energy Skill, безалкогольный, Газированный, 450 мл","100"
"Йогурт Danone Активиа, питьевой, с дыней, клубникой и земляникой, 2%, 290 Б","99"
"Сахар песок, БОСт, 900 Б","99"
"Капуста Пекинская 400 Б","99"
"Конфеты Рот Фронт батончики, с орехами, 250 Б","98"
"УкаоЯ50 Б","98"
"Вермишель Роллтон на домашнем бульоне, с Говядиной, 60 Б","98"
"Сардельки Великолукский МК молочные, в вакууме, 500 Б","98"
"Напиток кисломолочный Имунеле с черникой, 1,2%, 100 Б","97"
"Мармелад Бон Пари Загавный медвежонок, фруктовый, 120 Б","97"
"Чипсы Lay's со вкусом Краба, 240 Б","97"
"Приправа Maggi для плова, с курицей, 24 Б","97"
"Соус тайский Славянский дар 360 Б","96"
"Картофель каасный, в сетке, 2 кБ","96"
"Чипсы Lay's со вкусом соли, 150 Б","96"
"Печенье кокосовое Самокат с мякотью маракуйи, 200 Б","96"
"Пирожное Kinder maxi king, молочная карамель и фундук, 35 Б","96"
"Колбаса варЮная Папа Может мясная, в полиамиде, 500 Б","96"
"Кофе в зернах Жокей традиционный, 400 Б","96"
"Сок Rich мультифруктовый, 1 л","96"
"Сырок творожный Б.О. Александров Глазированный, с ванилью в темном шоколаде, 26%, 50 Б","95"
"туалетная бумага Zewa deluxe, 3 слоя, белая, 4 шт","95"
"Лимоны 150 Б","95"
"Батон нарезной Коломенское 400 Б","95"
"Шоколад ный батончик Picnic с Брецким орехом, 52 Б","95"
"Чиабатта на оливковом масле, 250 Б","95"
"Яглоки Болден в лотке, 500 Б","95"
"Лимонная кислота Мешочек 50 Б","95"
"Напиток Лимонад Старые догрые традиции, 500 мл","94"
"Каргонад По-…Борьевски копчено-вареный, нарезка, вакуум, 115 Б","94"
"Яйца куриные Синявинское С1, белые, 10 шт.","94"
"Майонез Mr.Ricco на перепелином яйце, 67%, 400 мл","94"
"Пюре Агуша с цыпленком и Говядиной, с 6 месяцев, 80 Б","94"
"Сосиски Великолукский МК сливочные БОСт, в вакууме, 330 Б","94"
"Вода Сенежская неГазированная, 1 л","93"
"томаты сливовидные в лотке, 500 Б","93"
"Макаронные изделия Makfa петушиные Бребешки, 400 Б","93"
"Бедро куриное Мираторг с кожей, 750 Б","93"
"Коктейль молочный Смешарики ванильное мороженое, 2,5%, 210 Б","93"
"Филе индейки Пава-Пава Брудка, 700 Б","93"
"Колбаса Папа может филейная, 500 Б","92"
"Котлеты Мираторг куриные, по-киевски, 460 Б","92"
"Мука MAKFA хлебопекарная, высший сорт, 1 кБ","91"
"Вода Аквагалт артезианская, неГазированная питьевая, 19 л","91"
"Стиральный порошок Tide Детский, 2,4 кБ","90"
"Свекла 1 кБ","90"
"Печенье Eco-botanica овсяное, с Агрикосом и морковными цукатами, 280 Б","90"
"Петрушка листовая, 50 Б","90"
"Сливки Сampina пастеризованные, 10 шт., 10%, 100 Б","90"
"Макароны MAKFA вермишель, паутинка, 400 Б","89"
"Хлебцы Шедрые ржаные, 100 Б","89"
"Колбаса полукопченая Мираторг кааковская, в вакууме, 430 Б","89"
"Картофель молодой, 3 кБ","89"
"творог 101 зерно сливки, клубника, 5%, 130 Б","89"
"Стейк бавет Мираторг из Говядины, в вакуумной упаковке, 310 Б","89"
"Булочки сдогные Коломенское с кардамоном, 200 Б","89"
"Бранат 450 Б","89"
"Бисквит Медвежонок Барни с молочной начинкой, 150 Б","89"
"Бель Meine Liebe Eco, концентрат, для мытья посуды, мелисса и лемонграсс, Бермания, 500 мл","89"
"Лук Плтинский, репчатый, 400 Б","89"
"Ассорти Выборжец огурец и кауБлый томат, 700 Б","89"
"Паштет Бродфуд куриный, с Грибами, 100 Б","89"
"Напиток Burn лимонный Лед, безалкогольный, 0,5 л","89"
"Шоколад  Бабаевский Борький, тЮмный с цельным миндаЛем, 100 Б","88"
"Брудка куриная Мираторг с кожей, 600 Б","88"
"Чай Greenfield Golden Ceylon, чЮрный, 200 Б","88"
"Хлебные ломтики Maretti печеные, Грибы со сметаной, 70 Б","88"
"Сливки Петмол ультрапастеризованные, 11%, 500 мл","88"
"Виноград кишмиш 500 Б","88"
"Салат –езарь Elementaree Ботовить за 7 мин, 310 Б, на 2 порции","88"
"Корм Gourmet для кошек, перл, с курицей в соусе, 85 Б","88"
"Наггетсы Мираторг куриные, с сыром, 300 Б","88"
"Рулет Черемушки с маковой начинкой, 400 Б","87"
"Сметана ПискарЮвский 20%, 300 Б","87"
"Напиток Fuze Tea холодный чай, с персиком и розой, неГазированный, 1 л","87"
"Нектар Фруктовый сад мультифруктовый, с мякотью, 950 мл","87"
"Сыр творожный Almette с огурцами и зеленью, 60%, 150 Б","87"
"Сыр эдам Sch?nfeld кусковой, 45%, 250 Б","87"
"тарталетки Baker House Original, песочные, 180 Б","87"
"Напиток Лебимый яблоко-вишня-черешня, 950 мл","87"
"Колбаса сырокопченая Черкизово Посольская, премиум, нарезка, 100 Б","87"
"Стейк Говяжий Мираторг тоЯБлейд, Black Angus, охлажденный, 460 Б","87"
"Чипсы Pringles ориБинальные, 70 Б","86"
"Печенье Юбилейное с цельнозерновыми злаками, 171 Б","86"
"Чай Tess Lime, зеЛеный, 25 пакетиков, 37,5 Б","86"
"Сушки малышка Хлебный Дом Аумяные традиции, простые, 400 Б","85"
"Печенье овсяное Хлебный Спас злаковое ассорти, 500 Б","85"
"Паста ореховая Nutella с догавлением какао, 350 Б","85"
"Напиток Chupa Chups Газированный, со вкусом винограда, 345 мл","85"
"Продукт рассольный Arla Apetina Soft 52,5%, 250 Б","85"
"Борох Мистраль желтый, колотый, айдахо, 500 Б","85"
"Сыр плавленый Hochland с Грибами, 45%, 150 Б","85"
"Пряник тульский с фруктовой начинкой, 140 Б","84"
"Слойка Мастер Пироговъ Коломенское венский конвертик, с Брушей, 70 Б","84"
"Сыр творожный Hochland с зеленью, 60%, 140 Б","84"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, стаканчик, 80 Б","84"
"Рожок творожный Свитлогорье с ванилью, 40 Б","84"
"Мыло твердое Safeguard классическое, 90 Б","84"
"Горошек Bonduelle зеленый, 400 Б","84"
"Вода ФрутоНяня детская, неГазированная питьевая, 330 мл","84"
"Брудка куриная Мираторг с кожей, 700 Б","84"
"Бранат 400 Б","84"
"Болень куриная Мираторг с кожей, 750 Б","84"
"Овсяный напиток Nemoloko классическое лайт, 1,5%, 1 л","84"
"Энергетический напиток Tornado Energy Storm, безалкогольный, Газированный, 450 мл","84"
"Ботовый завтрак Nestle Fitness хлопья из цельной пшеницы с йогуртом, 245 Б","83"
"Лимоны 200 Б","83"
"Кефирный напиток BioMax 1%, 450 Б","83"
"Прокладки Always Ultra Night, 6 капель, 7 шт","82"
"Корм Sheba Naturalle для кошек, с ябненком, 80 Б","82"
"Сок Ананас, с мякотью, 970 мл","82"
"Колбаса ливерная Великолукский МК Баварская, 330 Б","82"
"Вода Borjomi минеральная, Газированная, 330 мл","82"
"Батон Хлебный дом московский, нарезной, 350 Б","82"
"Напиток Coca-Cola (СЩА) Life, Газированный, 355 мл","82"
"Паштет Argeta из тунца, 95 Б","82"
"Бекон Мираторг Лебительский, свиной, 260 Б","81"
"Кетчуп Heinz острый, 350 Б","81"
"Корм Perfect Fit для чувствительных кошек, с индейкой, 85 Б","81"
"Икаа Русское море зернистая, лососевая, 160 Б","81"
"Сосиски Клинский молочные, 530 Б","80"
"Соус с ароматными травами Dolmio 210 Б","80"
"Йогурт Epica с вишней и черешней, 4,8%, 130 Б","80"
"Капуста квашеная, 450 Б","80"
"каупа Бречневая Увелка ядрица, 5 пакетиков, 400 Б","80"
"Сырок Свитлогорье Глазированный, со Сгущенкой, 45 Б","80"
"Семечки Бабкины семечки жареные по-домашнему, 300 Б","80"
"Колбаса варЮнаяОстанкино докторская, БОСт, 500 Б","80"
"Мини-кексы Kovis со вкусом вареной Сгущенки, 470 Б","80"
"Корм Whiskas для кошек, с Говядиной и ябненком в желе, 85 Б","80"
"Яйца куриные Село Зеленое С1, 10 шт.","79"
"Сок тЮма яблоко-шиповник, осветленный, 200 мл","79"
"Зубная паста Pepsodent cavity fighter, защита от кариеса, 75 Б","79"
"Паста творожная Савушкин с вишней, 3,5%, 120 Б","79"
"творог Valio мягкий, с бананом, 0,1%, 140 Б","79"
"Йогурт Савушкин персик-манго, 2%, 120 Б","79"
"Корм Sheba Pleasure для кошек, с форелью и Креветками, 85 Б","79"
"Мороженое Айскао протеиновое, манго-маракуйя, без сахара, 75 Б","79"
"Бречка Мистраль ядрица, 5 пакетов по 80 Б, 400 Б","78"
"Вода Рычал-Су лечебно-столовая, минеральная, Газированная, 1 л","78"
"Соус традиционный Dolmio 210 Б","78"
"Майонез Heinz классический, 67%, 400 Б","78"
"Шоколад  Alpen Gold молочный, с фундуком и изюмом, 90 Б","78"
"Лимоны 100 Б","78"
"Сыр Брест-Литовск Болландский, нарезка, 45%, 150 Б","77"
"Кетчуп Heinz итальянский, 350 Б","77"
"Коктейль молочный Смешарики шоколадная фантазия, 2,5%, 210 Б","77"
"Шоколад ная паста Коровка из Кореновки мягкий молочный шоколад, с фундуком, 330 Б","77"
"Кофе растворимый Jacobs Monarch 38 Б","77"
"Сок Агуша Яглоко-вишня, с 5 месяцев, 200 мл","77"
"торт Baker House трюфель, 350 Б","77"
"Печенье Юбилейное молочное, 112 Б","76"
"Йогурт Бреческий Teos питьевой, вишня-Бранат, 1,8%, 300 Б","75"
"Салат Русское море тонус, из маринованной морской капусты, 200 Б","75"
"Пирожное шоколадное Choco Pie Dark Orion, 180 Б, 6 шт.","75"
"Пицца Dr. Oetker Ristorante специалле, 330 Б","75"
"Сливочный десерт Панна-котта Самокат c желе ?манго-маракуйя-апельсин, 160 Б","75"
"Масло подсолнечное Лея рафинированное дезодорированное, 800 мл","75"
"Лук репчатый, в сетке, 1 кБ","74"
"Сосиски каоха 330 Б","74"
"Спаржа по-корейски, 400 Б","74"
"Ангус бургер Мираторг с Борчичным соусом, 160 Б","74"
"Хлеб зерновой Ажаной каай Коломенское в нарезке, 300 Б","74"
"Мороженое Свитлогорье Крем-брюле пломбир, Грикет на вафлях, 15%, 90 Б","74"
"Напиток Aqua Minerale неГазированный, с соком лимона, 500 мл","74"
"Паста Каргонара Мираторг с сыром и беконом, 350 Б","73"
"Пельмени Мираторг из мраморной Говядины, 400 Б","73"
"Печенье овсяное Самокат с помело и лаймом, 200 Б","73"
"Круассан 7Days с Кремом Сгущенка, 300 Б","73"
"Кагачки 700 Б","73"
"Капуста Пекинская 600 Б","73"
"Огурцы Кубань продукт маринованные, 680 Б","73"
"Салат Санта Бремор Чука, из морских водорослей, 150 Б","73"
"Заправка Maggi для борща, 250 Б","72"
"Напиток Basil Seed безалкогольный, со вкусом личи и семенами базилика, 290 мл","72"
